Name	secondary_cluster	cluster_size	Completeness	Contamination	Genome_Size	GC_Content	domain	phylum	class	order	family	genus	species	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	genome	threshold	cluster_method	comparison_algorithm	primary_cluster	user_genome	classification	GC (%)	L50	L90	Largest contig	N50	N90	Total length	Total length (>= 0 bp)	Total length (>= 1000 bp)	auN	CDSs	CRISPR arrays	gaps	hypotheticals	ncRNA regions	ncRNAs	oriCs	oriTs	oriVs	pseudogenes	rRNAs	sORFs	signal peptides	tRNAs	tmRNAs
SRR24759597_bin_73064	25_1	17	99.57	1.16	2115342	0.34	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Frischella	Frischella perrara	Neural Network (Specific Model)	11	0.868	33844	315.7918598660484	1941	93	151911		SRR24759597_bin_73064	0.05	average	ANImf	25	SRR24759597_bin_73064	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Frischella;s__Frischella perrara	34.02	16.0	53.0	151911.0	33844.0	11099.0	2115342.0	2115342.0	2115342.0	54687.5	1874	0	0	51	12	5	1	0	0	3	2	0	0	47	0
SRR24759598_bin_119213	26_1	3	85.98	0.91	2504613	0.34	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Gilliamella	Gilliamella sp945271295	Neural Network (Specific Model)	11	0.867	47949	307.840271877655	2354	61	195230		SRR24759598_bin_119213	0.05	average	ANImf	26	SRR24759598_bin_119213	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella sp945271295	34.33	15.0	44.0	195230.0	47949.0	22385.0	2504613.0	2504613.0	2504613.0	68099.5	2297	1	0	180	8	7	0	0	0	3	1	0	0	38	0
SRR24759598_bin_132977	12_0	1	99.99	1.81	5131086	0.6	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia ureilytica	Neural Network (Specific Model)	11	0.878	11775	283.6186616399623	5305	720	79088		SRR24759598_bin_132977	0.05	average	ANImf	12	SRR24759598_bin_132977	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia ureilytica	59.77	137.0	437.0	79088.0	11775.0	3267.0	5131086.0	5131086.0	5131086.0	14455.0	4820	0	0	327	52	45	2	1	0	13	4	9	0	61	1
SRR24759598_bin_98484	11_1	9	99.99	0.21	5438933	0.56	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	Neural Network (Specific Model)	11	0.888	49832	317.36424493010435	5079	163	176966		SRR24759598_bin_98484	0.05	average	ANImf	11	SRR24759598_bin_98484	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella oxytoca	55.63	31.0	105.0	176966.0	49832.0	17210.0	5438933.0	5438933.0	5438933.0	64112.3	4991	1	0	89	48	68	2	0	0	7	6	12	0	63	1
SRR24759600_bin_132439	6_0	1	99.64	0.55	2747383	0.31	Bacteria	Bacillota_A	Clostridia	Tissierellales	Tepidimicrobiaceae	Schnuerera	Schnuerera sp021655095	Neural Network (Specific Model)	11	0.897	23593	289.401547116737	2844	177	105510		SRR24759600_bin_132439	0.05	average	ANImf	6	SRR24759600_bin_132439	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Tepidimicrobiaceae;g__Schnuerera;s__Schnuerera sp021655095	31.43	37.0	120.0	105510.0	23593.0	7722.0	2747383.0	2747383.0	2747383.0	28593.7	2698	2	0	217	43	6	0	0	0	15	2	0	0	39	1
SRR24759600_bin_138516	8_1	2	87.71	1.61	1731863	0.46	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Bartonella_A	Bartonella_A choladocola	Gradient Boost (General Model)	11	0.827	14515	294.84288354898337	1623	172	61941		SRR24759600_bin_138516	0.05	average	ANImf	8	SRR24759600_bin_138516	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella_A;s__Bartonella_A choladocola	45.75	33.0	120.0	61941.0	14515.0	4408.0	1731863.0	1731863.0	1731863.0	20189.7	1493	0	0	123	2	5	1	0	0	6	0	0	0	23	0
SRR24759600_bin_174831	4_0	1	77.34	5.66	3249977	0.43	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Novisyntrophococcus		Gradient Boost (General Model)	11	0.889	2799	239.92301961758133	4027	1375	15798		SRR24759600_bin_174831	0.05	average	ANImf	4	SRR24759600_bin_174831	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Novisyntrophococcus;s__	43.41	379.0	1089.0	15798.0	2799.0	1268.0	3249977.0	3249977.0	3249977.0	3355.6	2909	2	0	874	27	15	1	0	0	57	0	1	0	47	1
SRR24759600_bin_59453	7_1	2	98.39	0.53	2631070	0.45	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Bartonella_A		Neural Network (Specific Model)	11	0.824	123140	314.12847222222223	2304	56	422661		SRR24759600_bin_59453	0.05	average	ANImf	7	SRR24759600_bin_59453	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Bartonella_A;s__	45.3	6.0	26.0	422661.0	123140.0	20145.0	2631070.0	2631070.0	2631070.0	172478.4	2266	0	0	284	9	10	0	0	0	1	0	0	0	40	1
SRR24759600_bin_64602	22_0	1	95.79	0.1	3118944	0.38	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Entomomonas	Entomomonas moraniae	Neural Network (Specific Model)	11	0.893	285762	317.46873932353947	2927	23	513259		SRR24759600_bin_64602	0.05	average	ANImf	22	SRR24759600_bin_64602	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Entomomonas;s__Entomomonas moraniae	38.12	4.0	11.0	513259.0	285762.0	95802.0	3118944.0	3118944.0	3118944.0	323484.4	2912	0	0	300	15	20	1	0	0	22	2	0	0	43	1
SRR24759600_bin_66323	2_1	6	99.89	0.05	2514634	0.3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Apibacter	Apibacter sp945280365	Neural Network (Specific Model)	11	0.842	118501	314.16451756336147	2249	71	248517		SRR24759600_bin_66323	0.05	average	ANImf	2	SRR24759600_bin_66323	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Apibacter;s__Apibacter sp945280365	29.59	8.0	26.0	248517.0	118501.0	18795.0	2514634.0	2514634.0	2514634.0	114659.0	2201	1	0	341	8	5	0	0	0	9	0	0	0	34	1
