Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
group_2_bin_200650.fasta	90.98	3.61	Gradient Boost (General Model)	11	0.863	6897	316.5861552292478	3667314	0.53	3337	671	27242	None
group_2_bin_217611.fasta	82.05	2.73	Neural Network (Specific Model)	11	0.86	8404	329.0886426592798	2896590	0.56	2527	406	30560	None
group_2_bin_262042.fasta	76.83	2.48	Gradient Boost (General Model)	11	0.876	7390	284.1354748603352	2085008	0.54	2148	379	32091	None
group_2_bin_264176.fasta	88.33	14.67	Gradient Boost (General Model)	11	0.861	3782	245.212734241908	3999403	0.43	4696	1230	17886	None
group_2_bin_268054.fasta	75.2	19.01	Gradient Boost (General Model)	11	0.777	5885	241.59412667104974	4242791	0.54	4563	930	28551	None
group_2_bin_31139.fasta	84.24	5.53	Neural Network (Specific Model)	11	0.912	11721	339.3275795934024	2902726	0.58	2607	317	30890	None
group_2_bin_314733.fasta	99.78	0.15	Gradient Boost (General Model)	11	0.915	24341	293.55898043864846	1619161	0.5	1687	104	87664	None
group_2_bin_344446.fasta	92.35	3.89	Gradient Boost (General Model)	11	0.892	9226	317.52501812907906	2937916	0.54	2758	367	43857	None
group_2_bin_394029.fasta	81.68	14.18	Gradient Boost (General Model)	11	0.867	3280	231.72130141190914	1301016	0.44	1629	469	28352	None
group_2_bin_410381.fasta	89.07	0.39	Gradient Boost (General Model)	11	0.893	9427	307.6980461811723	2902894	0.55	2815	362	28287	None
group_2_bin_427243.fasta	75.62	9.21	Gradient Boost (General Model)	11	0.84	4217	233.84864300626305	797721	0.32	958	199	13829	None
group_2_bin_507945.fasta	86.87	3.58	Gradient Boost (General Model)	11	0.884	10349	328.8596638655462	2650450	0.55	2380	329	35641	None
group_2_bin_519274.fasta	80.85	6.34	Neural Network (Specific Model)	11	0.867	8672	294.431105047749	2978507	0.52	2932	417	29236	None
group_4_bin_41700.fasta	100.0	6.15	Neural Network (Specific Model)	11	0.291	4296	78.45388913476432	664088092	0.41	831496	233625	51795	Low confidence prediction - substantial (61%) disagreement between completeness prediction models
group_4_bin_63579.fasta	99.37	0.43	Neural Network (Specific Model)	11	0.881	20870	302.4502886465683	3205413	0.68	3118	229	89598	None
group_5_bin_1251.fasta	98.38	0.42	Gradient Boost (General Model)	11	0.451	1658	108.25960109503325	9112787	0.4	12785	5155	39865	None
